Name,A,B,C,,,
Ethyl butyrate,-68.8174,7.4202E+03,9.0267,,,
D-Limonene,-60.4796,7.7964E+03,7.7145,,,
Eucalyptol,-68.2129,8.1657E+03,8.8576,,,
Benzoic acid,-105.1540,1.1092E+04,13.8959,,,
Geraniol,-86.5375,1.0383E+04,11.1781,,,
Cinnamic aldehyde,-74.9637,9.544E+03,9.6210,,,
Hydroxycitronellal,-86.0447,1.047E+04,11.0897,,,
Thymol,-104.4491,1.1567E+04,13.7069,,,
Cinnamyl alcohol,-80.8089,1.0096E+04,10.3939,,,
Vanillin,-85.1955,1.0665E+04,10.9715,,,
Cinnamyl acetate,-87.0583,1.1113E+04,11.1349,,,
Benzyl salicylate,-91.9069,1.2735E+04,11.6265,,,
"2,3-Butanediol",-151.6313,1.1425E+04,21.1835,,,
C10g,-68.2384,8.2841E+03,8.7613,,,
1-Octanol,-95.3708,1.0075E+04,12.6077,,,
C11g,-73.7645,9.0401E+03,9.4613,,,
Nonanal,-81.0839,9.4042E+03,10.5383,,,
"2,6-Dimethylphenol",-84.3535,9.4459E+03,11.0772,,,
2-Ethylhexanoic acid,-130.8548,1.2421E+04,17.5805,,,
"2,6-Xylidine",-75.5619,9.1287E+03,9.8029,,,
C10 FAME,-90.2938,1.0984E+04,11.6153,,,
Dicyclohexylamine,-86.3265,1.0716E+04,11.1558,,,
C11 FAME,-94.0772,1.1639E+04,12.0653,,,
C12 FAME,-98.8309,1.2348E+04,12.6542,,,
C8,-78.3546,7.8855E+03,10.4266,,,
C9,-40.7502,6.4398E+03,4.8422,,,
C10,-46.8867,7.2001E+03,5.6461,,,
C11,-55.8759,8.1155E+03,6.8599,,,
C12,-69.7305,9.2964E+03,8.7734,,,
C13,-69.6880,9.7183E+03,8.6837,,,
C14,-76.1154,1.0493E+04,9.5251,,,
C15,-80.2163,1.1148E+04,10.0277,,,
C16,-90.4369,1.2166E+04,11.3994,,,
C17,-91.9692,1.2647E+04,11.5439,,,
C18,-99.2920,1.35E+04,12.5001,,,
C19,-104.4553,1.4202E+04,13.1575,,,
C20,-112.5298,1.5103E+04,14.2184,,,
C21,-119.3704,1.5924E+04,15.1060,,,
C22,-122.9751,1.6528E+04,15.5424,,,
C23,-129.3688,1.732E+04,16.3667,,,
C24,-134.4363,1.8023E+04,17.0059,,,
C25,-139.7793,1.8746E+04,17.6829,,,
C26,-144.5641,1.9423E+04,18.2843,,,
C27,-149.1632,2.0089E+04,18.8593,,,
C28,-152.3337,2.0653E+04,19.2369,,,
C29,-166.5954,2.2017E+04,21.1392,,,
C30,-171.5317,2.2684E+04,21.7697,,,