Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
Heptane,142-82-5,7,16,0,0,0,100.20194,SLB5ms,44.738,25.519,60.91,0.001,Blumberg2017
Octane,111-65-9,8,18,0,0,0,114.22852,SLB5ms,67.346,26.779,66.363,0.001,Blumberg2017
Nonane,111-84-2,9,20,0,0,0,128.2551,SLB5ms,87.42,27.699,71.797,0.001,Blumberg2017
2-Octanone,111-13-7,8,16,1,0,0,128.21204,SLB5ms,105.29,28.876,81.294,0.001,Blumberg2017
Decane,124-18-5,10,22,0,0,0,142.28168,SLB5ms,106.44,28.588,76.602,0.001,Blumberg2017
2-Octanol,123-96-6,8,18,1,0,0,130.22792,SLB5ms,107.03,28.644,88.469,0.001,Blumberg2017
1-Octanol,111-87-5,8,18,1,0,0,130.22792,SLB5ms,119.5,29.317,92.778,0.001,Blumberg2017
5-Nonanol,623-93-8,9,20,1,0,0,144.2545,SLB5ms,122.92,29.571,90.768,0.001,Blumberg2017
Undecane,1120-21-4,11,24,0,0,0,156.30826,SLB5ms,124.75,29.628,83.819,0.001,Blumberg2017
2-Nonanol,628-99-9,9,20,1,0,0,144.2545,SLB5ms,124.84,29.561,93.722,0.001,Blumberg2017
1-Nonanol,143-8-8,9,20,1,0,0,144.2545,SLB5ms,136.59,30.235,99.004,0.001,Blumberg2017
5-Decanol,5205-34-5,10,22,1,0,0,158.28108,SLB5ms,139.54,30.354,96.469,0.001,Blumberg2017
2-Decanone,693-54-9,10,20,1,0,0,156.2652,SLB5ms,140.21,30.591,91.994,0.001,Blumberg2017
Dodecane,112-40-3,12,26,0,0,0,170.33484,SLB5ms,141.26,30.301,92.491,0.001,Blumberg2017
Tridecane,629-50-5,13,28,0,0,0,184.36142,SLB5ms,156.66,30.962,98.511,0.001,Blumberg2017
Tetradecane,629-59-4,14,30,0,0,0,198.388,SLB5ms,171.12,31.564,103.96,0.001,Blumberg2017
Pentadecane,629-62-9,15,32,0,0,0,212.41458,SLB5ms,184.75,32.117,109.4,0.001,Blumberg2017
Heptane,142-82-5,7,16,0,0,0,100.20194,SPB50,28.239,24.906,50.692,0.001,Blumberg2017
Octane,111-65-9,8,18,0,0,0,114.22852,SPB50,51.055,26.156,58.211,0.001,Blumberg2017
Nonane,111-84-2,9,20,0,0,0,128.2551,SPB50,71.914,27.275,62.689,0.001,Blumberg2017
Decane,124-18-5,10,22,0,0,0,142.28168,SPB50,91.129,28.227,66.861,0.001,Blumberg2017
2-Octanol,123-96-6,8,18,1,0,0,130.22792,SPB50,107.12,29.065,78.13,0.001,Blumberg2017
Undecane,1120-21-4,11,24,0,0,0,156.30826,SPB50,108.95,29.003,74.488,0.001,Blumberg2017
2-Octanone,111-13-7,8,16,1,0,0,128.21204,SPB50,110.7,29.424,76.479,0.001,Blumberg2017
5-Nonanol,623-93-8,9,20,1,0,0,144.2545,SPB50,121.57,29.894,81.309,0.001,Blumberg2017
1-Octanol,111-87-5,8,18,1,0,0,130.22792,SPB50,122.0,30.178,80.169,0.001,Blumberg2017
2-Nonanol,628-99-9,9,20,1,0,0,144.2545,SPB50,124.18,29.919,81.323,0.001,Blumberg2017
Dodecane,112-40-3,12,26,0,0,0,170.33484,SPB50,125.52,29.71,80.744,0.001,Blumberg2017
5-Decanol,5205-34-5,10,22,1,0,0,158.28108,SPB50,137.36,30.558,84.657,0.001,Blumberg2017
1-Nonanol,143-8-8,9,20,1,0,0,144.2545,SPB50,138.27,30.925,85.39,0.001,Blumberg2017
Tridecane,629-50-5,13,28,0,0,0,184.36142,SPB50,140.99,30.37,85.071,0.001,Blumberg2017
2-Decanone,693-54-9,10,20,1,0,0,156.2652,SPB50,143.14,30.959,85.186,0.001,Blumberg2017
Tetradecane,629-59-4,14,30,0,0,0,198.388,SPB50,155.51,30.95,89.343,0.001,Blumberg2017
Pentadecane,629-62-9,15,32,0,0,0,212.41458,SPB50,169.19,31.461,93.281,0.001,Blumberg2017
Heptane,142-82-5,7,16,0,0,0,100.20194,Wax,0.932,23.664,50.469,0.001,Blumberg2017
Octane,111-65-9,8,18,0,0,0,114.22852,Wax,24.632,25.016,61.678,0.001,Blumberg2017
Nonane,111-84-2,9,20,0,0,0,128.2551,Wax,46.169,26.346,67.749,0.001,Blumberg2017
Decane,124-18-5,10,22,0,0,0,142.28168,Wax,66.044,27.526,74.429,0.001,Blumberg2017
Undecane,1120-21-4,11,24,0,0,0,156.30826,Wax,84.475,28.633,76.138,0.001,Blumberg2017
Dodecane,112-40-3,12,26,0,0,0,170.33484,Wax,101.7,29.608,81.796,0.001,Blumberg2017
Tridecane,629-50-5,13,28,0,0,0,184.36142,Wax,117.85,30.51,87.457,0.001,Blumberg2017
2-Octanone,111-13-7,8,16,1,0,0,128.21204,Wax,118.77,32.266,70.902,0.001,Blumberg2017
Tetradecane,629-59-4,14,30,0,0,0,198.388,Wax,133.08,31.34,92.855,0.001,Blumberg2017
2-Octanol,123-96-6,8,18,1,0,0,130.22792,Wax,135.17,30.775,95.604,0.001,Blumberg2017
5-Nonanol,623-93-8,9,20,1,0,0,144.2545,Wax,143.66,31.212,100.05,0.001,Blumberg2017
Pentadecane,629-62-9,15,32,0,0,0,212.41458,Wax,147.47,32.122,98.572,0.001,Blumberg2017
2-Nonanol,628-99-9,9,20,1,0,0,144.2545,Wax,149.46,31.6,102.93,0.001,Blumberg2017
2-Decanone,693-54-9,10,20,1,0,0,156.2652,Wax,150.11,33.907,78.098,0.001,Blumberg2017
1-Octanol,111-87-5,8,18,1,0,0,130.22792,Wax,155.4,32.317,97.29,0.001,Blumberg2017
5-Decanol,5205-34-5,10,22,1,0,0,158.28108,Wax,157.26,31.981,107.11,0.001,Blumberg2017
1-Nonanol,143-8-8,9,20,1,0,0,144.2545,Wax,169.04,33.106,102.05,0.001,Blumberg2017
C7,142-82-5,7,16,0,0,0,100.20194,DB5ms,43.997,26.354,0.71704,0.001,Boswell2012
Propyl acetate,109-60-4,5,10,2,0,0,102.1317,DB5ms,47.513,25.045,42.993,0.001,Boswell2012
Pyridine,110-86-1,5,5,0,1,1,79.0999,DB5ms,55.332,27.47,55.93,0.001,Boswell2012
Toluene ,108-88-3,7,8,0,0,1,92.13842,DB5ms,61.023,28.373,39.223,0.001,Boswell2012
2-Hexanone,591-78-6,6,12,1,0,0,100.15888,DB5ms,64.593,26.797,55.477,0.001,Boswell2012
C8,111-65-9,8,18,0,0,0,114.22852,DB5ms,67.026,27.015,42.351,0.001,Boswell2012
Butyl acetate,123-86-4,6,12,2,0,0,116.15828,DB5ms,69.587,26.442,51.751,0.001,Boswell2012
4-Methylpyridine,108-89-4,6,7,0,1,1,93.12648,DB5ms,81.795,29.695,42.923,0.001,Boswell2012
Ethylbenzene,100-41-4,8,10,0,0,1,106.165,DB5ms,81.927,29.592,36.157,0.001,Boswell2012
2-Heptanone,110-43-0,7,14,1,0,0,114.18546,DB5ms,85.891,28.008,54.313,0.001,Boswell2012
C9,111-84-2,9,20,0,0,0,128.2551,DB5ms,87.97,28.004,51.332,0.001,Boswell2012
Pentyl acetate ,628-63-7,7,14,2,0,0,130.18486,DB5ms,89.881,27.48,62.651,0.001,Boswell2012
"N,N-dimethylisobutyramide ",21678-37-5,6,13,1,1,0,115.17352,DB5ms,102.19,29.099,64.347,0.001,Boswell2012
Phenol,108-95-2,6,6,1,0,1,94.11124,DB5ms,102.21,28.654,83.07,0.001,Boswell2012
Aniline,62-53-3,6,7,0,1,1,93.12648,DB5ms,104.98,30.71,55.717,0.001,Boswell2012
2-Octanone,111-13-7,8,16,1,0,0,128.21204,DB5ms,105.43,28.957,63.466,0.001,Boswell2012
"N,N-diethylacetamide ",685-91-6,6,13,1,1,0,115.17352,DB5ms,107.09,29.71,70.673,0.001,Boswell2012
C10,124-18-5,10,22,0,0,0,142.28168,DB5ms,107.2,28.836,58.24,0.001,Boswell2012
Hexyl acetate,142-92-7,8,16,2,0,0,144.21144,DB5ms,108.61,28.388,66.544,0.001,Boswell2012
1-Octanol,111-87-5,8,18,1,0,0,130.22792,DB5ms,119.66,29.388,72.708,0.001,Boswell2012
n-Butylbenzene ,104-51-8,10,14,0,0,1,134.21816,DB5ms,119.8,31.162,59.474,0.001,Boswell2012
Acetophenone ,98-86-2,8,8,1,0,1,120.14852,DB5ms,122.11,31.731,62.677,0.001,Boswell2012
2-Nonanone,821-55-6,9,18,1,0,0,142.23862,DB5ms,123.58,29.772,70.058,0.001,Boswell2012
C11,1120-21-4,11,24,0,0,0,156.30826,DB5ms,124.9,29.549,66.526,0.001,Boswell2012
Linalool,78-70-6,10,18,1,0,0,154.24932,DB5ms,125.54,30.17,72.207,0.001,Boswell2012
Tert-butylpyridine,585-48-8,13,21,0,1,1,191.31254,DB5ms,126.93,32.122,64.322,0.001,Boswell2012
Octanoic acid,124-7-2,8,16,2,0,0,144.21144,DB5ms,133.66,28.759,105.31,0.001,Boswell2012
Propiophenone ,93-55-0,9,10,1,0,1,134.1751,DB5ms,138.96,32.312,68.595,0.001,Boswell2012
4-Ethylaniline,589-16-2,8,11,0,1,1,121.17964,DB5ms,139.39,32.458,69.125,0.001,Boswell2012
2-Decanone,693-54-9,10,20,1,0,0,156.2652,DB5ms,140.45,30.5,75.991,0.001,Boswell2012
C12,112-40-3,12,26,0,0,0,170.33484,DB5ms,141.47,30.259,71.241,0.001,Boswell2012
Octyl acetate,112-14-1,10,20,2,0,0,172.2646,DB5ms,142.41,29.998,79.426,0.001,Boswell2012
Naphthalene,91-20-3,10,8,0,0,2,128.17052,DB5ms,145.55,34.572,59.24,0.001,Boswell2012
Resorcinol,108-46-3,6,6,2,0,1,110.11064,DB5ms,152.7,30.999,110.36,0.001,Boswell2012
Butyrophenone ,495-40-9,10,12,1,0,1,148.20168,DB5ms,153.16,32.9,66.298,0.001,Boswell2012
2-Undecanone,112-12-9,11,22,1,0,0,170.29178,DB5ms,156.26,31.24,81.755,0.001,Boswell2012
C13,629-50-5,13,28,0,0,0,184.36142,DB5ms,156.9,30.894,80.347,0.001,Boswell2012
Indole,120-72-9,8,7,0,1,2,117.14788,DB5ms,160.32,34.144,74.445,0.001,Boswell2012
Decanoic acid ,334-48-5,10,20,2,0,0,172.2646,DB5ms,164.33,30.685,102.49,0.001,Boswell2012
Benzamide,55-21-0,7,7,1,1,1,121.13658,DB5ms,164.51,33.99,82.916,0.001,Boswell2012
Valerophenone ,1009-14-9,11,14,1,0,1,162.22826,DB5ms,168.74,33.507,72.384,0.001,Boswell2012
Nicotine,22083-74-5,10,14,0,2,2,162.23156,DB5ms,168.95,34.765,71.153,0.001,Boswell2012
4-Butylaniline,104-13-2,10,15,0,1,1,149.2328,DB5ms,170.45,33.871,74.222,0.001,Boswell2012
2-Dodecanone,6175-49-1,12,24,1,0,0,184.31836,DB5ms,171.28,31.857,76.888,0.001,Boswell2012
C14,629-59-4,14,30,0,0,0,198.388,DB5ms,171.64,31.484,76.299,0.001,Boswell2012
Decyl acetate,112-17-4,12,24,2,0,0,200.31776,DB5ms,172.29,31.288,83.719,0.001,Boswell2012
Hexanophenone,942-92-7,12,16,1,0,1,176.25484,DB5ms,183.49,34.016,74.216,0.001,Boswell2012
Coumarin,91-64-5,9,6,2,0,2,146.14274,DB5ms,183.72,36.251,65.422,0.001,Boswell2012
2-Tridecanone,593-8-8,13,26,1,0,0,198.34494,DB5ms,185.04,32.362,88.653,0.001,Boswell2012
C15,629-62-9,15,32,0,0,0,212.41458,DB5ms,185.17,32.005,84.611,0.001,Boswell2012
1-Naphthol,90-15-3,10,8,1,0,2,144.16992,DB5ms,191.6,36.024,91.421,0.001,Boswell2012
Nikethamide,59-26-7,10,14,1,2,1,178.23096,DB5ms,194.27,35.177,84.675,0.001,Boswell2012
Heptanophenone ,1671-75-6,13,18,1,0,1,190.28142,DB5ms,197.12,34.524,82.695,0.001,Boswell2012
C16,544-76-3,16,34,0,0,0,226.44116,DB5ms,198.13,32.383,85.559,0.001,Boswell2012
4-Hexylaniline,33228-45-4,12,19,0,1,1,177.28596,DB5ms,198.6,34.89,84.816,0.001,Boswell2012
Benzocaine,94-9-7,9,11,2,1,1,165.18914,DB5ms,198.82,35.055,88.436,0.001,Boswell2012
4-Nitroaniline,100-1-6,6,6,2,2,1,138.12404,DB5ms,204.12,36.824,82.672,0.001,Boswell2012
Diphenylamine,122-39-4,12,11,0,1,2,169.22244,DB5ms,206.26,36.275,86.257,0.001,Boswell2012
Octanophenone ,1674-37-9,14,20,1,0,1,204.308,DB5ms,210.1,34.93,91.909,0.001,Boswell2012
C17,629-78-7,17,36,0,0,0,240.46774,DB5ms,210.13,32.723,92.907,0.001,Boswell2012
2-Pentadecanone,2345-28-0,15,30,1,0,0,226.3981,DB5ms,210.52,33.201,93.15,0.001,Boswell2012
Tri-n-hexylamine ,102-86-3,18,39,0,1,0,269.50896,DB5ms,213.84,33.198,101.38,0.001,Boswell2012
"(1S,2R)-1-phenyl-2-(1- pyrrolidinyl)-1-propanol",71-23-8,3,8,1,0,0,60.09502,DB5ms,214.28,36.703,85.542,0.001,Boswell2012
C18,593-45-3,18,38,0,0,0,254.49432,DB5ms,221.6,33.074,101.27,0.001,Boswell2012
4-Octylaniline,16245-79-7,14,23,0,1,1,205.33912,DB5ms,223.94,35.74,97.637,0.001,Boswell2012
Anthracene,120-12-7,14,10,0,0,3,178.2292,DB5ms,231.94,40.07,76.365,0.001,Boswell2012
Caffeine,58-8-2,8,10,2,4,2,194.1906,DB5ms,232.6,37.765,94.912,0.001,Boswell2012
C19,629-92-5,19,40,0,0,0,268.5209,DB5ms,232.62,33.488,105.68,0.001,Boswell2012
Indole-3-acetic acid ethyl ester,778-82-5,12,13,2,1,2,203.23712,DB5ms,235.2,36.693,100.54,0.001,Boswell2012
Lidocaine,137-58-6,14,22,1,2,1,234.33728,DB5ms,236.13,36.909,92.941,0.001,Boswell2012
C20,112-95-8,20,42,0,0,0,282.54748,DB5ms,243.08,33.815,112.77,0.001,Boswell2012
4-Decylaniline,37529-30-9,16,27,0,1,1,233.39228,DB5ms,246.83,36.465,106.73,0.001,Boswell2012
Triphenylmethane,519-73-3,19,16,0,0,3,244.33034,DB5ms,250.04,38.249,94.178,0.001,Boswell2012
C21,629-94-7,21,44,0,0,0,296.57406,DB5ms,253.07,34.136,118.95,0.001,Boswell2012
C22,629-97-0,22,46,0,0,0,310.60064,DB5ms,262.63,34.426,125.23,0.001,Boswell2012
4-Dodecylaniline,104-42-7,18,31,0,1,1,261.44544,DB5ms,267.6,37.02,116.51,0.001,Boswell2012
Dextromethorphan,125-71-3,18,25,1,1,4,271.3972,DB5ms,268.23,40.017,99.94,0.001,Boswell2012
Tri-n-octylamine ,1116-76-3,24,51,0,1,0,353.66844,DB5ms,271.08,34.833,129.45,0.001,Boswell2012
C23,638-67-5,23,48,0,0,0,324.62722,DB5ms,271.8,34.71,131.64,0.001,Boswell2012
C24,646-31-1,24,50,0,0,0,338.6538,DB5ms,280.59,34.975,137.54,0.001,Boswell2012
C25,629-99-2,25,52,0,0,0,352.68038,DB5ms,289.05,35.214,142.53,0.001,Boswell2012
C26,630-1-3,26,54,0,0,0,366.70696,DB5ms,297.19,35.446,147.26,0.001,Boswell2012
C28,630-2-4,28,58,0,0,0,394.76012,DB5ms,312.58,35.826,154.82,0.001,Boswell2012
Tri-n-decylamine,1070-1-5,30,63,0,1,0,437.82792,DB5ms,316.75,35.777,151.16,0.001,Boswell2012
C30,638-68-6,30,62,0,0,0,422.81328,DB5ms,326.91,36.139,161.78,0.001,Boswell2012
C32,544-85-4,32,66,0,0,0,450.86644,DB5ms,340.33,36.462,171.34,0.001,Boswell2012
C34,14167-59-0,34,70,0,0,0,478.9196,DB5ms,352.42,36.343,171.71,0.001,Boswell2012
C36,630-6-8,36,74,0,0,0,506.97276,DB5ms,364.2,36.576,181.85,0.001,Boswell2012
Methyl butyrate,623-42-7,5,10,2,0,0,102.1317,Rxi17SilMS,49.699,25.139,82.71,0.001,Brehmer2022
4-Methyl-2-pentanone,108-10-1,6,12,1,0,0,100.15888,Rxi17SilMS,56.791,28.996,90.281,0.001,Brehmer2022
Pentanol,71-41-0,5,12,1,0,0,88.14818,Rxi17SilMS,58.934,26.919,189.66,0.001,Brehmer2022
Toluene,108-88-3,7,8,0,0,1,92.13842,Rxi17SilMS,60.799,28.234,70.101,0.001,Brehmer2022
2-Hexanone,591-78-6,6,12,1,0,0,100.15888,Rxi17SilMS,69.311,27.747,183.88,0.001,Brehmer2022
Hexan-1-ol,111-27-3,6,14,1,0,0,102.17476,Rxi17SilMS,77.98,26.825,116.18,0.001,Brehmer2022
Ethylbenzene,100-41-4,8,10,0,0,1,106.165,Rxi17SilMS,81.076,29.203,92.253,0.001,Brehmer2022
m-Xylene,108-38-3,8,10,0,0,1,106.165,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022
p-Xylene,106-42-3,8,10,0,0,1,106.165,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022
Chlorobenzene,108-90-7,6,5,0,0,1,112.5569,Rxi17SilMS,82.793,29.922,84.973,0.001,Brehmer2022
2-Heptanone,110-43-0,7,14,1,0,0,114.18546,Rxi17SilMS,85.535,27.024,113.81,0.001,Brehmer2022
n-Heptanal,111-71-7,7,14,1,0,0,114.18546,Rxi17SilMS,87.462,27.489,112.17,0.001,Brehmer2022
o-Xylene,95-47-6,8,10,0,0,1,106.165,Rxi17SilMS,89.046,29.889,70.688,0.001,Brehmer2022
Methyl hexanoate,106-70-7,7,14,2,0,0,130.18486,Rxi17SilMS,89.321,27.033,96.702,0.001,Brehmer2022
Cyclohexanol,108-93-0,6,12,1,0,1,100.15888,Rxi17SilMS,90.044,29.425,88.676,0.001,Brehmer2022
Styrene,100-42-5,8,8,0,0,1,104.14912,Rxi17SilMS,91.666,29.76,94.467,0.001,Brehmer2022
Heptanol,111-70-6,7,16,1,0,0,116.20134,Rxi17SilMS,98.42,30.458,197.86,0.001,Brehmer2022
Octan-2-ol,123-96-6,8,18,1,0,0,130.22792,Rxi17SilMS,99.505,27.994,108.59,0.001,Brehmer2022
Cyclohexanone,108-94-1,6,10,1,0,1,98.143,Rxi17SilMS,101.2,30.848,84.809,0.001,Brehmer2022
2-Octanone,111-13-7,8,16,1,0,0,128.21204,Rxi17SilMS,103.35,28.229,110.03,0.001,Brehmer2022
Bromobenzene,108-86-1,6,5,0,0,1,157.0079,Rxi17SilMS,104.09,31.987,80.197,0.001,Brehmer2022
n-Octanal,124-13-0,8,16,1,0,0,128.21204,Rxi17SilMS,105.34,28.314,115.11,0.001,Brehmer2022
Phenol,108-95-2,6,6,1,0,1,94.11124,Rxi17SilMS,113.06,30.654,93.668,0.001,Brehmer2022
Octan-1-ol,111-87-5,8,18,1,0,0,130.22792,Rxi17SilMS,114.37,28.935,108.34,0.001,Brehmer2022
"1,3-Dichlorobenzene",541-73-1,6,4,0,0,1,147.00196,Rxi17SilMS,115.8,32.562,78.486,0.001,Brehmer2022
2-Chlorophenol,95-57-8,6,5,1,0,1,128.5563,Rxi17SilMS,115.88,32.649,84.209,0.001,Brehmer2022
n-Butylbenzene,104-51-8,10,14,0,0,1,134.21816,Rxi17SilMS,116.35,30.927,91.572,0.001,Brehmer2022
2-Nonanone,821-55-6,9,18,1,0,0,142.23862,Rxi17SilMS,120.2,29.002,105.6,0.001,Brehmer2022
